frame_idx,image_file,image_stamp,cmd_stamp,dt_cmd,cmd_linear_x,cmd_angular_z,odom_stamp,dt_odom,odom_linear_x,odom_angular_z,width,height,encoding
0,images/000000.jpg,1774267502.253733397,1774267502.235810280,0.017923117,0.000000000,0.000000000,1774267502.239009857,0.014723539,-0.000000001,0.001467960,640,480,rgb8
1,images/000001.jpg,1774267502.287087440,1774267502.275816202,0.011271238,0.000000000,0.000000000,1774267502.279025793,0.008061647,-0.000000001,0.001845963,640,480,rgb8
2,images/000002.jpg,1774267502.320441484,1774267502.315810680,0.004630804,0.000000000,0.000000000,1774267502.319033146,0.001408339,-0.000000001,0.002870884,640,480,rgb8
3,images/000003.jpg,1774267502.353795767,1774267502.335819006,0.017976761,0.000000000,0.000000000,1774267502.339012384,0.014783382,-0.000000000,0.002464667,640,480,rgb8
4,images/000004.jpg,1774267502.387149572,1774267502.375826359,0.011323214,0.000000000,0.000000000,1774267502.379045725,0.008103848,-0.000000001,0.003597457,640,480,rgb8
5,images/000005.jpg,1774267502.420507431,1774267502.415827751,0.004679680,0.000000000,0.000000000,1774267502.419045448,0.001461983,-0.000000000,0.003585334,640,480,rgb8
6,images/000006.jpg,1774267502.453865051,1774267502.435845375,0.018019676,0.000000000,0.000000000,1774267502.439064264,0.014800787,-0.000000000,0.001270279,640,480,rgb8
7,images/000007.jpg,1774267502.487222672,1774267502.475819588,0.011403084,0.000000000,0.000000000,1774267502.479031324,0.008191347,-0.000000000,0.002095036,640,480,rgb8
8,images/000008.jpg,1774267502.553939581,1774267502.535824776,0.018114805,0.000000000,0.000000000,1774267502.539109468,0.014830112,-0.000000001,0.003447343,640,480,rgb8
9,images/000009.jpg,1774267502.587298155,1774267502.575819969,0.011478186,0.000000000,0.000000000,1774267502.579018831,0.008279324,-0.000000001,0.003926789,640,480,rgb8
10,images/000010.jpg,1774267502.620656729,1774267502.615816116,0.004840612,0.000000000,0.000000000,1774267502.619048834,0.001607895,-0.000000000,0.003435573,640,480,rgb8
11,images/000011.jpg,1774267502.654015303,1774267502.635819197,0.018196106,0.000000000,0.000000000,1774267502.639065027,0.014950275,-0.000000001,0.003876516,640,480,rgb8
12,images/000012.jpg,1774267502.687373877,1774267502.675820589,0.011553288,0.000000000,0.000000000,1774267502.679039478,0.008334398,-0.000000000,0.002976601,640,480,rgb8
13,images/000013.jpg,1774267502.720732450,1774267502.715812206,0.004920244,0.000000000,0.000000000,1774267502.719061613,0.001670837,-0.000000000,0.001812113,640,480,rgb8
14,images/000014.jpg,1774267502.754091024,1774267502.735814333,0.018276691,0.000000000,0.000000000,1774267502.739078760,0.015012264,-0.000000000,0.001748342,640,480,rgb8
15,images/000015.jpg,1774267502.787449360,1774267502.775815248,0.011634111,0.000000000,0.000000000,1774267502.779046774,0.008402586,-0.000000000,-0.000627602,640,480,rgb8
16,images/000016.jpg,1774267502.820808172,1774267502.815815687,0.004992485,0.000000000,0.000000000,1774267502.819044828,0.001763344,-0.000000000,0.000320644,640,480,rgb8
17,images/000017.jpg,1774267502.854166746,1774267502.835811615,0.018355131,0.000000000,0.000000000,1774267502.839035988,0.015130758,-0.000000000,0.000975761,640,480,rgb8
18,images/000018.jpg,1774267502.887525320,1774267502.875811338,0.011713982,0.000000000,0.000000000,1774267502.879102945,0.008422375,-0.000000001,0.001622073,640,480,rgb8
