frame_idx,image_file,image_stamp,cmd_stamp,dt_cmd,cmd_linear_x,cmd_angular_z,odom_stamp,dt_odom,odom_linear_x,odom_angular_z,width,height,encoding
0,images/000000.jpg,1774268384.542641163,1774268384.535815954,0.006825209,0.000000000,0.000000000,1774268384.539027214,0.003613949,-0.000000127,0.004630053,640,480,rgb8
1,images/000001.jpg,1774268384.575844765,1774268384.575834036,0.000010729,0.000000000,0.000000000,1774268384.559027433,0.016817331,-0.000000079,0.004503865,640,480,rgb8
2,images/000002.jpg,1774268384.609047174,1774268384.595790863,0.013256311,0.000000000,0.000000000,1774268384.599055767,0.009991407,-0.000000195,0.003692032,640,480,rgb8
3,images/000003.jpg,1774268384.642248392,1774268384.635836363,0.006412029,0.000000000,0.000000000,1774268384.639062166,0.003186226,-0.000000184,0.004600424,640,480,rgb8
4,images/000004.jpg,1774268384.675448656,1774268384.655821562,0.019627094,0.000000000,0.000000000,1774268384.659041882,0.016406775,-0.000000123,0.004293660,640,480,rgb8
5,images/000005.jpg,1774268384.708647966,1774268384.695839882,0.012808084,0.000000000,0.000000000,1774268384.699053049,0.009594917,-0.000000120,0.003677596,640,480,rgb8
6,images/000006.jpg,1774268384.741846323,1774268384.735795975,0.006050348,0.000000000,0.000000000,1774268384.739089489,0.002756834,-0.000000228,0.003408347,640,480,rgb8
7,images/000007.jpg,1774268384.775043726,1774268384.755800247,0.019243479,0.000000000,0.000000000,1774268384.759038925,0.016004801,-0.000000122,0.003774137,640,480,rgb8
8,images/000008.jpg,1774268384.808239698,1774268384.795824051,0.012415648,0.000000000,0.000000000,1774268384.799099684,0.009140015,-0.000000059,0.002680040,640,480,rgb8
9,images/000009.jpg,1774268384.841434956,1774268384.835817575,0.005617380,0.000000000,0.000000000,1774268384.839018822,0.002416134,-0.000000106,0.002533428,640,480,rgb8
10,images/000010.jpg,1774268384.907822609,1774268384.895819426,0.012003183,0.000000000,0.000000000,1774268384.899058819,0.008763790,-0.000000155,0.002860092,640,480,rgb8
11,images/000011.jpg,1774268384.941014767,1774268384.935813427,0.005201340,0.000000000,0.000000000,1774268384.939036131,0.001978636,-0.000000151,-0.002746823,640,480,rgb8
12,images/000012.jpg,1774268384.974205732,1774268384.935813427,0.038392305,0.000000000,0.000000000,1774268384.959069014,0.015136719,-0.000000102,-0.001158246,640,480,rgb8
13,images/000013.jpg,1774268385.007395744,1774268384.995811462,0.011584282,0.000000000,0.000000000,1774268384.999025583,0.008370161,-0.000000066,0.001229714,640,480,rgb8
14,images/000014.jpg,1774268385.040585041,1774268385.035825014,0.004760027,0.000000000,0.000000000,1774268385.039066315,0.001518726,-0.000000154,0.001358018,640,480,rgb8
15,images/000015.jpg,1774268385.073772907,1774268385.055813789,0.017959118,0.000000000,0.000000000,1774268385.059044361,0.014728546,-0.000000044,0.002693034,640,480,rgb8
16,images/000016.jpg,1774268385.106960058,1774268385.095828056,0.011132002,0.000000000,0.000000000,1774268385.099031448,0.007928610,-0.000000089,0.002722003,640,480,rgb8
17,images/000017.jpg,1774268385.140146017,1774268385.135819912,0.004326105,0.000000000,0.000000000,1774268385.139129877,0.001016140,-0.000000090,0.002398582,640,480,rgb8
18,images/000018.jpg,1774268385.173330784,1774268385.155812979,0.017517805,0.000000000,0.000000000,1774268385.159016848,0.014313936,-0.000000131,0.001809200,640,480,rgb8
19,images/000019.jpg,1774268385.206514835,1774268385.195811749,0.010703087,0.000000000,0.000000000,1774268385.199037313,0.007477522,-0.000000128,0.002434543,640,480,rgb8
20,images/000020.jpg,1774268385.239697695,1774268385.235810757,0.003886938,0.000000000,0.000000000,1774268385.239032507,0.000665188,-0.000000096,0.002516649,640,480,rgb8
21,images/000021.jpg,1774268385.272879601,1774268385.255809307,0.017070293,0.000000000,0.000000000,1774268385.259022713,0.013856888,-0.000000134,0.003160773,640,480,rgb8
22,images/000022.jpg,1774268385.306060553,1774268385.295807600,0.010252953,0.000000000,0.000000000,1774268385.299017429,0.007043123,-0.000000041,0.002714810,640,480,rgb8
23,images/000023.jpg,1774268385.339240551,1774268385.335824728,0.003415823,0.000000000,0.000000000,1774268385.339050531,0.000190020,-0.000000114,0.002752274,640,480,rgb8
24,images/000024.jpg,1774268385.372419119,1774268385.355849743,0.016569376,0.000000000,0.000000000,1774268385.359076262,0.013342857,-0.000000079,0.002779548,640,480,rgb8
25,images/000025.jpg,1774268385.405596972,1774268385.395824909,0.009772062,0.000000000,0.000000000,1774268385.399031639,0.006565332,-0.000000077,0.002818421,640,480,rgb8
26,images/000026.jpg,1774268385.438778877,1774268385.435825348,0.002953529,0.000000000,0.000000000,1774268385.419024944,0.019753933,-0.000000111,0.002843335,640,480,rgb8
27,images/000027.jpg,1774268385.472160816,1774268385.455829382,0.016331434,0.000000000,0.000000000,1774268385.459078789,0.013082027,-0.000000109,0.002934574,640,480,rgb8
28,images/000028.jpg,1774268385.505542755,1774268385.495842695,0.009700060,0.000000000,0.000000000,1774268385.499026299,0.006516457,-0.000000106,0.001742802,640,480,rgb8
29,images/000029.jpg,1774268385.538924694,1774268385.535813332,0.003111362,0.000000000,0.000000000,1774268385.519073486,0.019851208,-0.000000139,0.001495155,640,480,rgb8
30,images/000030.jpg,1774268385.572216272,1774268385.555829287,0.016386986,0.000000000,0.000000000,1774268385.559072256,0.013144016,-0.000000106,0.003230416,640,480,rgb8
31,images/000031.jpg,1774268385.605507135,1774268385.595822573,0.009684563,0.000000000,0.000000000,1774268385.599103451,0.006403685,-0.000000035,-0.002920719,640,480,rgb8
32,images/000032.jpg,1774268385.638797283,1774268385.635809422,0.002987862,0.000000000,0.000000000,1774268385.619029999,0.019767284,-0.000000065,0.001354894,640,480,rgb8
33,images/000033.jpg,1774268385.672087193,1774268385.655836582,0.016250610,0.000000000,0.000000000,1774268385.659049034,0.013038158,-0.000000069,0.002075639,640,480,rgb8
34,images/000034.jpg,1774268385.705376387,1774268385.695819139,0.009557247,0.000000000,0.000000000,1774268385.699043751,0.006332636,-0.000000064,0.002021846,640,480,rgb8
35,images/000035.jpg,1774268385.738665342,1774268385.735812426,0.002852917,0.000000000,0.000000000,1774268385.719068527,0.019596815,-0.000000093,0.002248711,640,480,rgb8
36,images/000036.jpg,1774268385.771953583,1774268385.755829334,0.016124249,0.000000000,0.000000000,1774268385.759074688,0.012878895,-0.000000090,0.001007967,640,480,rgb8
37,images/000037.jpg,1774268385.805241108,1774268385.795832872,0.009408236,0.000000000,0.000000000,1774268385.799077034,0.006164074,-0.000000088,0.001096916,640,480,rgb8
38,images/000038.jpg,1774268385.838528395,1774268385.835815668,0.002712727,0.000000000,0.000000000,1774268385.819053888,0.019474506,-0.000000039,0.002162622,640,480,rgb8
39,images/000039.jpg,1774268385.871815205,1774268385.855816126,0.015999079,0.000000000,0.000000000,1774268385.859067678,0.012747526,-0.000000092,0.002852182,640,480,rgb8
40,images/000040.jpg,1774268385.905101299,1774268385.895815611,0.009285688,0.000000000,0.000000000,1774268385.899047613,0.006053686,-0.000000028,0.002088487,640,480,rgb8
41,images/000041.jpg,1774268385.938386917,1774268385.935788155,0.002598763,0.000000000,0.000000000,1774268385.919025183,0.019361734,-0.000000053,0.001757094,640,480,rgb8
42,images/000042.jpg,1774268386.004956722,1774268385.995782852,0.009173870,0.000000000,0.000000000,1774268385.999011755,0.005944967,-0.000000052,-0.001607909,640,480,rgb8
43,images/000043.jpg,1774268386.038240671,1774268386.035814047,0.002426624,0.000000000,0.000000000,1774268386.019025326,0.019215345,-0.000000076,-0.001951473,640,480,rgb8
44,images/000044.jpg,1774268386.071524382,1774268386.055813789,0.015710592,0.000000000,0.000000000,1774268386.059099197,0.012425184,-0.000000074,-0.001075180,640,480,rgb8
45,images/000045.jpg,1774268386.104807377,1774268386.095812559,0.008994818,0.000000000,0.000000000,1774268386.099045277,0.005762100,-0.000000056,0.000962287,640,480,rgb8
46,images/000046.jpg,1774268386.138089895,1774268386.135822773,0.002267122,0.000000000,0.000000000,1774268386.119032145,0.019057751,-0.000000078,0.005146612,640,480,rgb8
47,images/000047.jpg,1774268386.171372175,1774268386.155821562,0.015550613,0.000000000,0.000000000,1774268386.159063578,0.012308598,-0.000000024,0.005317126,640,480,rgb8
48,images/000048.jpg,1774268386.204653502,1774268386.195838690,0.008814812,0.000000000,0.000000000,1774268386.199047804,0.005605698,-0.000000028,0.002815806,640,480,rgb8
49,images/000049.jpg,1774268386.237934589,1774268386.235835314,0.002099276,0.000000000,0.000000000,1774268386.219100714,0.018833876,-0.000000049,0.000655012,640,480,rgb8
50,images/000050.jpg,1774268386.271214962,1774268386.255816460,0.015398502,0.000000000,0.000000000,1774268386.259037018,0.012177944,-0.000000045,0.000711816,640,480,rgb8
51,images/000051.jpg,1774268386.304494858,1774268386.295815706,0.008679152,0.000000000,0.000000000,1774268386.299031496,0.005463362,-0.000000044,0.001255581,640,480,rgb8
52,images/000052.jpg,1774268386.337774277,1774268386.335816860,0.001957417,0.000000000,0.000000000,1774268386.319032431,0.018741846,-0.000000063,0.002042844,640,480,rgb8
53,images/000053.jpg,1774268386.371053219,1774268386.355810642,0.015242577,0.000000000,0.000000000,1774268386.359018803,0.012034416,-0.000000062,0.001401119,640,480,rgb8
54,images/000054.jpg,1774268386.404331446,1774268386.395807505,0.008523941,0.000000000,0.000000000,1774268386.399044991,0.005286455,-0.000000060,0.001259615,640,480,rgb8
55,images/000055.jpg,1774268386.437609434,1774268386.435824871,0.001784563,0.000000000,0.000000000,1774268386.419049263,0.018560171,-0.000000021,0.001798343,640,480,rgb8
56,images/000056.jpg,1774268386.470886707,1774268386.455832958,0.015053749,0.000000000,0.000000000,1774268386.459053040,0.011833668,-0.000000057,0.003078621,640,480,rgb8
57,images/000057.jpg,1774268386.504163504,1774268386.495824575,0.008338928,0.000000000,0.000000000,1774268386.499021530,0.005141973,-0.000000019,0.001945159,640,480,rgb8
